,Experiment,Temp,p(A),p(B),p(C),Obs.,Model,Priming,Scenario
0,1_1,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,1
1,1_1,0.5,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,1
2,1_1,1.0,2.00%,0.00%,98.00%,50,GPT-3.5-Turbo,0,1
3,1_1,1.5,4.00%,16.00%,80.00%,50,GPT-3.5-Turbo,0,1
4,1_1,2.0,6.25%,14.58%,79.17%,48,GPT-3.5-Turbo,0,1
0,2_1,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,1
1,2_1,0.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,1
2,2_1,1.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,1
3,2_1,1.5,2.00%,0.00%,98.00%,50,GPT-4-1106-Preview,0,1
4,2_1,2.0,4.44%,0.00%,95.56%,45,GPT-4-1106-Preview,0,1
0,1_5,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,1,1
1,1_5,0.5,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,1,1
2,1_5,1.0,6.00%,0.00%,94.00%,50,GPT-3.5-Turbo,1,1
3,1_5,1.5,20.00%,0.00%,80.00%,50,GPT-3.5-Turbo,1,1
4,1_5,2.0,31.25%,2.08%,66.67%,48,GPT-3.5-Turbo,1,1
0,2_5,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,1
1,2_5,0.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,1
2,2_5,1.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,1
3,2_5,1.5,0.00%,0.00%,100.00%,49,GPT-4-1106-Preview,1,1
4,2_5,2.0,0.00%,0.00%,100.00%,47,GPT-4-1106-Preview,1,1
0,1_2,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,2
1,1_2,0.5,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,2
2,1_2,1.0,2.00%,0.00%,98.00%,50,GPT-3.5-Turbo,0,2
3,1_2,1.5,2.00%,0.00%,98.00%,50,GPT-3.5-Turbo,0,2
4,1_2,2.0,4.26%,0.00%,95.74%,47,GPT-3.5-Turbo,0,2
0,2_2,0.0,100.00%,0.00%,0.00%,50,GPT-4-1106-Preview,0,2
1,2_2,0.5,100.00%,0.00%,0.00%,50,GPT-4-1106-Preview,0,2
2,2_2,1.0,94.00%,0.00%,6.00%,50,GPT-4-1106-Preview,0,2
3,2_2,1.5,74.00%,0.00%,26.00%,50,GPT-4-1106-Preview,0,2
4,2_2,2.0,66.67%,0.00%,33.33%,45,GPT-4-1106-Preview,0,2
0,1_6,0.0,100.00%,0.00%,0.00%,50,GPT-3.5-Turbo,1,2
1,1_6,0.5,78.00%,0.00%,22.00%,50,GPT-3.5-Turbo,1,2
2,1_6,1.0,78.00%,0.00%,22.00%,50,GPT-3.5-Turbo,1,2
3,1_6,1.5,66.00%,0.00%,34.00%,50,GPT-3.5-Turbo,1,2
4,1_6,2.0,64.58%,0.00%,35.42%,48,GPT-3.5-Turbo,1,2
0,2_6,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,2
1,2_6,0.5,8.00%,0.00%,92.00%,50,GPT-4-1106-Preview,1,2
2,2_6,1.0,12.00%,0.00%,88.00%,50,GPT-4-1106-Preview,1,2
3,2_6,1.5,32.65%,0.00%,67.35%,49,GPT-4-1106-Preview,1,2
4,2_6,2.0,41.86%,0.00%,58.14%,43,GPT-4-1106-Preview,1,2
0,1_3,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,3
1,1_3,0.5,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,0,3
2,1_3,1.0,0.00%,6.00%,94.00%,50,GPT-3.5-Turbo,0,3
3,1_3,1.5,2.00%,6.00%,92.00%,50,GPT-3.5-Turbo,0,3
4,1_3,2.0,2.22%,13.33%,84.44%,45,GPT-3.5-Turbo,0,3
0,2_3,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,3
1,2_3,0.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,3
2,2_3,1.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,3
3,2_3,1.5,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,0,3
4,2_3,2.0,0.00%,0.00%,100.00%,49,GPT-4-1106-Preview,0,3
0,1_7,0.0,0.00%,0.00%,100.00%,50,GPT-3.5-Turbo,1,3
1,1_7,0.5,2.00%,0.00%,98.00%,50,GPT-3.5-Turbo,1,3
2,1_7,1.0,18.00%,0.00%,82.00%,50,GPT-3.5-Turbo,1,3
3,1_7,1.5,28.57%,0.00%,71.43%,49,GPT-3.5-Turbo,1,3
4,1_7,2.0,25.00%,0.00%,75.00%,48,GPT-3.5-Turbo,1,3
0,2_7,0.0,0.00%,0.00%,100.00%,50,GPT-4-1106-Preview,1,3
