,Experiment,Temp,p(A),p(B),p(C),Obs.,Model,Scenario,Configuration
0,1_1_1,0.5,62.00%,36.00%,2.00%,100,gpt-3.5-turbo,1,1
1,1_1_1,1.0,49.00%,44.00%,7.00%,100,gpt-3.5-turbo,1,1
2,1_1_1,1.5,45.00%,32.00%,23.00%,100,gpt-3.5-turbo,1,1
0,1_1_2,0.5,56.00%,42.00%,2.00%,100,gpt-3.5-turbo,1,2
1,1_1_2,1.0,46.00%,48.00%,6.00%,100,gpt-3.5-turbo,1,2
2,1_1_2,1.5,48.00%,41.00%,11.00%,100,gpt-3.5-turbo,1,2
0,1_1_3,0.5,90.00%,5.00%,5.00%,100,gpt-3.5-turbo,1,3
1,1_1_3,1.0,62.00%,14.00%,24.00%,100,gpt-3.5-turbo,1,3
2,1_1_3,1.5,59.60%,12.12%,28.28%,99,gpt-3.5-turbo,1,3
0,1_1_4,0.5,96.00%,0.00%,4.00%,100,gpt-3.5-turbo,1,4
1,1_1_4,1.0,76.00%,5.00%,19.00%,100,gpt-3.5-turbo,1,4
2,1_1_4,1.5,62.00%,12.00%,26.00%,100,gpt-3.5-turbo,1,4
0,1_1_5,0.5,35.00%,50.00%,15.00%,100,gpt-3.5-turbo,1,5
1,1_1_5,1.0,28.00%,50.00%,22.00%,100,gpt-3.5-turbo,1,5
2,1_1_5,1.5,41.00%,37.00%,22.00%,100,gpt-3.5-turbo,1,5
0,1_1_6,0.5,6.00%,91.00%,3.00%,100,gpt-3.5-turbo,1,6
1,1_1_6,1.0,13.00%,81.00%,6.00%,100,gpt-3.5-turbo,1,6
2,1_1_6,1.5,22.00%,61.00%,17.00%,100,gpt-3.5-turbo,1,6
0,1_2_1,0.5,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,1
1,1_2_1,1.0,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,1
2,1_2_1,1.5,2.00%,4.00%,94.00%,50,gpt-4-1106-preview,1,1
0,1_2_2,0.5,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,2
1,1_2_2,1.0,2.00%,0.00%,98.00%,50,gpt-4-1106-preview,1,2
2,1_2_2,1.5,0.00%,2.00%,98.00%,50,gpt-4-1106-preview,1,2
0,1_2_3,0.5,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,3
1,1_2_3,1.0,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,3
2,1_2_3,1.5,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,3
0,1_2_4,0.5,0.00%,0.00%,100.00%,50,gpt-4-1106-preview,1,4
