,Experiment,Temp,p(A),p(B),p(C),Obs.,Model,Priming,Scenario
0,1_1,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,0,1
1,1_1,0.5,92.0,6.0,2.0,50,GPT-3.5-Turbo,0,1
2,1_1,1.0,84.0,12.0,4.0,50,GPT-3.5-Turbo,0,1
3,1_1,1.5,60.0,32.0,8.0,50,GPT-3.5-Turbo,0,1
4,1_1,2.0,48.94,14.89,36.17,47,GPT-3.5-Turbo,0,1
0,2_1,0.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,1
1,2_1,0.5,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,1
2,2_1,1.0,0.0,0.0,100.0,50,GPT-4-1106-Preview,0,1
3,2_1,1.5,2.0,0.0,98.0,50,GPT-4-1106-Preview,0,1
4,2_1,2.0,6.0,2.0,92.0,50,GPT-4-1106-Preview,0,1
0,1_5,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,1,1
1,1_5,0.5,70.0,4.0,26.0,50,GPT-3.5-Turbo,1,1
2,1_5,1.0,50.0,18.0,32.0,50,GPT-3.5-Turbo,1,1
3,1_5,1.5,46.0,22.0,32.0,50,GPT-3.5-Turbo,1,1
4,1_5,2.0,42.86,18.37,38.78,49,GPT-3.5-Turbo,1,1
0,2_5,0.0,94.0,0.0,6.0,50,GPT-4-1106-Preview,1,1
1,2_5,0.5,70.0,0.0,30.0,50,GPT-4-1106-Preview,1,1
2,2_5,1.0,60.0,0.0,40.0,50,GPT-4-1106-Preview,1,1
3,2_5,1.5,60.0,0.0,40.0,50,GPT-4-1106-Preview,1,1
4,2_5,2.0,57.14,0.0,42.86,49,GPT-4-1106-Preview,1,1
0,1_2,0.0,100.0,0.0,0.0,50,GPT-3.5-Turbo,0,2
1,1_2,0.5,54.0,8.0,38.0,50,GPT-3.5-Turbo,0,2
2,1_2,1.0,50.0,8.0,42.0,50,GPT-3.5-Turbo,0,2
