Prospect Theory;;;;;;;
Experiment ID;Model;Scenario;Priming;;;;
PT_1_1;gpt-3.5-turbo;1;0;;Priming is binary encoded;;
PT_1_2;gpt-3.5-turbo;2;0;;;;
PT_1_3;gpt-3.5-turbo;3;0;;;;
PT_1_4;gpt-3.5-turbo;4;0;;;;
PT_1_5;gpt-3.5-turbo;1;1;;;;
PT_1_6;gpt-3.5-turbo;2;1;;;;
PT_1_7;gpt-3.5-turbo;3;1;;;;
PT_1_8;gpt-3.5-turbo;4;1;;;;
PT_2_1;gpt-4-1106-preview;1;0;;;;
PT_2_2;gpt-4-1106-preview;2;0;;;;
PT_2_3;gpt-4-1106-preview;3;0;;;;
PT_2_4;gpt-4-1106-preview;4;0;;;;
PT_2_5;gpt-4-1106-preview;1;1;;;;
PT_2_6;gpt-4-1106-preview;2;1;;;;
PT_2_7;gpt-4-1106-preview;3;1;;;;
PT_2_8;gpt-4-1106-preview;4;1;;;;
PT_3_1;llama-2-70b;1;0;;;;
PT_3_2;llama-2-70b;2;0;;;;
PT_3_3;llama-2-70b;3;0;;;;
PT_3_4;llama-2-70b;4;0;;;;
PT_3_5;llama-2-70b;1;1;;;;
PT_3_6;llama-2-70b;2;1;;;;
PT_3_7;llama-2-70b;3;1;;;;
PT_3_8;llama-2-70b;4;1;;;;
;;;;;;;
;;;;;;;
Prospect Theory 2;;;;;;;
Experiment ID;Model;Configuration;Scenario;;;;
PT2_1_1_1;gpt-3.5-turbo;1;1;;Configurations refer to the adjustments we applied to the original prompts;;
PT2_1_1_2;gpt-3.5-turbo;2;1;;Configuration 1 is Original numbers scaled by Pi * 42;;
PT2_1_1_3;gpt-3.5-turbo;3;1;;Configuration 2 is Original numbers scaled by Pi * 100;;
PT2_1_1_4;gpt-3.5-turbo;4;1;;Configuration 3 is A is better off by $25;;
PT2_1_1_5;gpt-3.5-turbo;5;1;;Configuration 4 is A is better off by $50;;
PT2_1_1_6;gpt-3.5-turbo;6;1;;Configuration 5 B is better off by $25;;
PT2_2_1_1;gpt-3.5-turbo;1;2;;Configuration 6 is B is better off by $50;;
PT2_2_1_2;gpt-3.5-turbo;2;2;;;;
PT2_2_1_3;gpt-3.5-turbo;3;2;;;;
PT2_2_1_4;gpt-3.5-turbo;4;2;;;;
PT2_2_1_5;gpt-3.5-turbo;5;2;;;;
PT2_2_1_6;gpt-3.5-turbo;6;2;;;;
PT2_3_1_1;gpt-3.5-turbo;1;3;;;;
PT2_3_1_2;gpt-3.5-turbo;2;3;;;;
PT2_3_1_3;gpt-3.5-turbo;3;3;;;;
PT2_3_1_4;gpt-3.5-turbo;4;3;;;;
PT2_3_1_5;gpt-3.5-turbo;5;3;;;;
PT2_3_1_6;gpt-3.5-turbo;6;3;;;;
PT2_4_1_1;gpt-3.5-turbo;1;4;;;;
PT2_4_1_2;gpt-3.5-turbo;2;4;;;;
PT2_4_1_3;gpt-3.5-turbo;3;4;;;;
PT2_4_1_4;gpt-3.5-turbo;4;4;;;;
PT2_4_1_5;gpt-3.5-turbo;5;4;;;;
PT2_4_1_6;gpt-3.5-turbo;6;4;;;;
PT2_1_2_1;gpt-4-1106-preview;1;1;;;;
PT2_1_2_2;gpt-4-1106-preview;2;1;;;;
PT2_1_2_3;gpt-4-1106-preview;3;1;;;;
PT2_1_2_4;gpt-4-1106-preview;4;1;;;;
PT2_1_2_5;gpt-4-1106-preview;5;1;;;;
PT2_1_2_6;gpt-4-1106-preview;6;1;;;;
PT2_2_2_1;gpt-4-1106-preview;1;2;;;;
PT2_2_2_2;gpt-4-1106-preview;2;2;;;;
PT2_2_2_3;gpt-4-1106-preview;3;2;;;;
PT2_2_2_4;gpt-4-1106-preview;4;2;;;;
PT2_2_2_5;gpt-4-1106-preview;5;2;;;;
