Experiment_id,Temp,A,B,C,Obs.,Model,Scenario,Priming,Reorder,Original,Original_count
DE_1_1,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,1,0,0,"[16, 0, 84]",100
DE_1_1,0.5,0.0,1.0,99.0,100,gpt-3.5-turbo,1,0,0,"[16, 0, 84]",100
DE_1_1,1.0,6.0,5.0,89.0,100,gpt-3.5-turbo,1,0,0,"[16, 0, 84]",100
DE_1_1,1.5,7.22,18.56,74.23,97,gpt-3.5-turbo,1,0,0,"[16, 0, 84]",100
DE_1_1,2.0,10.59,17.65,71.76,85,gpt-3.5-turbo,1,0,0,"[16, 0, 84]",100
DE_1_2,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,2,0,0,"[68, 0, 32]",100
DE_1_2,0.5,1.0,0.0,99.0,100,gpt-3.5-turbo,2,0,0,"[68, 0, 32]",100
DE_1_2,1.0,3.0,0.0,97.0,100,gpt-3.5-turbo,2,0,0,"[68, 0, 32]",100
DE_1_2,1.5,4.08,0.0,95.92,98,gpt-3.5-turbo,2,0,0,"[68, 0, 32]",100
DE_1_2,2.0,15.29,0.0,84.71,85,gpt-3.5-turbo,2,0,0,"[68, 0, 32]",100
DE_1_3,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,1,1,0,"[16, 0, 84]",100
DE_1_3,0.5,0.0,4.0,96.0,100,gpt-3.5-turbo,1,1,0,"[16, 0, 84]",100
DE_1_3,1.0,9.09,21.21,69.7,99,gpt-3.5-turbo,1,1,0,"[16, 0, 84]",100
DE_1_3,1.5,7.14,19.39,73.47,98,gpt-3.5-turbo,1,1,0,"[16, 0, 84]",100
DE_1_3,2.0,12.5,34.09,53.41,88,gpt-3.5-turbo,1,1,0,"[16, 0, 84]",100
DE_1_4,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,2,1,0,"[68, 0, 32]",100
DE_1_4,0.5,1.0,0.0,99.0,100,gpt-3.5-turbo,2,1,0,"[68, 0, 32]",100
DE_1_4,1.0,5.0,0.0,95.0,100,gpt-3.5-turbo,2,1,0,"[68, 0, 32]",100
DE_1_4,1.5,16.33,0.0,83.67,98,gpt-3.5-turbo,2,1,0,"[68, 0, 32]",100
DE_1_4,2.0,20.45,0.0,79.55,88,gpt-3.5-turbo,2,1,0,"[68, 0, 32]",100
DE_1_5,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,1,0,1,"[16, 0, 84]",100
DE_1_5,0.5,0.0,0.0,100.0,100,gpt-3.5-turbo,1,0,1,"[16, 0, 84]",100
DE_1_5,1.0,11.0,1.0,88.0,100,gpt-3.5-turbo,1,0,1,"[16, 0, 84]",100
DE_1_5,1.5,14.14,4.04,81.82,99,gpt-3.5-turbo,1,0,1,"[16, 0, 84]",100
DE_1_5,2.0,21.25,5.0,73.75,80,gpt-3.5-turbo,1,0,1,"[16, 0, 84]",100
DE_1_6,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,2,0,1,"[68, 0, 32]",100
DE_1_6,0.5,8.0,0.0,92.0,100,gpt-3.5-turbo,2,0,1,"[68, 0, 32]",100
DE_1_6,1.0,21.21,0.0,78.79,99,gpt-3.5-turbo,2,0,1,"[68, 0, 32]",100
DE_1_6,1.5,30.0,0.0,70.0,100,gpt-3.5-turbo,2,0,1,"[68, 0, 32]",100
DE_1_6,2.0,39.33,0.0,60.67,89,gpt-3.5-turbo,2,0,1,"[68, 0, 32]",100
DE_1_7,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,1,1,1,"[16, 0, 84]",100
DE_1_7,0.5,11.0,3.0,86.0,100,gpt-3.5-turbo,1,1,1,"[16, 0, 84]",100
DE_1_7,1.0,25.51,9.18,65.31,98,gpt-3.5-turbo,1,1,1,"[16, 0, 84]",100
DE_1_7,1.5,32.65,24.49,42.86,98,gpt-3.5-turbo,1,1,1,"[16, 0, 84]",100
DE_1_7,2.0,29.41,14.12,56.47,85,gpt-3.5-turbo,1,1,1,"[16, 0, 84]",100
DE_1_8,0.0,0.0,0.0,100.0,100,gpt-3.5-turbo,2,1,1,"[68, 0, 32]",100
DE_1_8,0.5,3.0,0.0,97.0,100,gpt-3.5-turbo,2,1,1,"[68, 0, 32]",100
DE_1_8,1.0,13.0,0.0,87.0,100,gpt-3.5-turbo,2,1,1,"[68, 0, 32]",100
DE_1_8,1.5,18.18,0.0,81.82,99,gpt-3.5-turbo,2,1,1,"[68, 0, 32]",100
DE_1_8,2.0,27.4,0.0,72.6,73,gpt-3.5-turbo,2,1,1,"[68, 0, 32]",100
DE_2_1,0.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,0,"[16, 0, 84]",100
DE_2_1,0.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,0,"[16, 0, 84]",100
DE_2_1,1.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,0,"[16, 0, 84]",100
DE_2_1,1.5,0.0,0.0,100.0,49,gpt-4-1106-preview,1,0,0,"[16, 0, 84]",100
DE_2_1,2.0,0.0,0.0,100.0,48,gpt-4-1106-preview,1,0,0,"[16, 0, 84]",100
DE_2_2,0.0,100.0,0.0,0.0,50,gpt-4-1106-preview,2,0,0,"[68, 0, 32]",100
DE_2_2,0.5,98.0,0.0,2.0,50,gpt-4-1106-preview,2,0,0,"[68, 0, 32]",100
DE_2_2,1.0,94.0,0.0,6.0,50,gpt-4-1106-preview,2,0,0,"[68, 0, 32]",100
DE_2_2,1.5,87.76,0.0,12.24,49,gpt-4-1106-preview,2,0,0,"[68, 0, 32]",100
DE_2_2,2.0,89.36,0.0,10.64,47,gpt-4-1106-preview,2,0,0,"[68, 0, 32]",100
DE_2_3,0.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,0,"[16, 0, 84]",100
DE_2_3,0.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,0,"[16, 0, 84]",100
DE_2_3,1.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,0,"[16, 0, 84]",100
DE_2_3,1.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,0,"[16, 0, 84]",100
DE_2_3,2.0,0.0,0.0,100.0,46,gpt-4-1106-preview,1,1,0,"[16, 0, 84]",100
DE_2_4,0.0,100.0,0.0,0.0,50,gpt-4-1106-preview,2,1,0,"[68, 0, 32]",100
DE_2_4,0.5,95.92,0.0,4.08,49,gpt-4-1106-preview,2,1,0,"[68, 0, 32]",100
DE_2_4,1.0,84.09,0.0,15.91,44,gpt-4-1106-preview,2,1,0,"[68, 0, 32]",100
DE_2_4,1.5,84.21,0.0,15.79,38,gpt-4-1106-preview,2,1,0,"[68, 0, 32]",100
DE_2_4,2.0,63.64,0.0,36.36,22,gpt-4-1106-preview,2,1,0,"[68, 0, 32]",100
DE_2_5,0.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,1,"[16, 0, 84]",100
DE_2_5,0.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,1,"[16, 0, 84]",100
DE_2_5,1.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,1,"[16, 0, 84]",100
DE_2_5,1.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,0,1,"[16, 0, 84]",100
DE_2_5,2.0,2.08,0.0,97.92,48,gpt-4-1106-preview,1,0,1,"[16, 0, 84]",100
DE_2_6,0.0,100.0,0.0,0.0,50,gpt-4-1106-preview,2,0,1,"[68, 0, 32]",100
DE_2_6,0.5,100.0,0.0,0.0,50,gpt-4-1106-preview,2,0,1,"[68, 0, 32]",100
DE_2_6,1.0,100.0,0.0,0.0,50,gpt-4-1106-preview,2,0,1,"[68, 0, 32]",100
DE_2_6,1.5,97.92,0.0,2.08,48,gpt-4-1106-preview,2,0,1,"[68, 0, 32]",100
DE_2_6,2.0,95.35,0.0,4.65,43,gpt-4-1106-preview,2,0,1,"[68, 0, 32]",100
DE_2_7,0.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,1,"[16, 0, 84]",100
DE_2_7,0.5,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,1,"[16, 0, 84]",100
DE_2_7,1.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,1,"[16, 0, 84]",100
DE_2_7,1.5,0.0,0.0,100.0,49,gpt-4-1106-preview,1,1,1,"[16, 0, 84]",100
DE_2_7,2.0,0.0,0.0,100.0,50,gpt-4-1106-preview,1,1,1,"[16, 0, 84]",100
DE_2_8,0.0,0.0,0.0,100.0,50,gpt-4-1106-preview,2,1,1,"[68, 0, 32]",100
DE_2_8,0.5,10.0,0.0,90.0,50,gpt-4-1106-preview,2,1,1,"[68, 0, 32]",100
DE_2_8,1.0,20.0,0.0,80.0,50,gpt-4-1106-preview,2,1,1,"[68, 0, 32]",100
DE_2_8,1.5,24.49,0.0,75.51,49,gpt-4-1106-preview,2,1,1,"[68, 0, 32]",100
DE_2_8,2.0,41.03,0.0,58.97,39,gpt-4-1106-preview,2,1,1,"[68, 0, 32]",100
DE_3_1,0.01,0.0,0.0,100.0,50,llama-2-70b,1,0,0,"[16, 0, 84]",100
DE_3_1,0.5,0.0,0.0,100.0,50,llama-2-70b,1,0,0,"[16, 0, 84]",100
DE_3_1,1.0,0.0,0.0,100.0,50,llama-2-70b,1,0,0,"[16, 0, 84]",100
DE_3_1,1.5,0.0,0.0,100.0,50,llama-2-70b,1,0,0,"[16, 0, 84]",100
DE_3_1,2.0,4.0,6.0,90.0,50,llama-2-70b,1,0,0,"[16, 0, 84]",100
DE_3_2,0.01,0.0,0.0,100.0,50,llama-2-70b,2,0,0,"[68, 0, 32]",100
DE_3_2,0.5,0.0,0.0,100.0,50,llama-2-70b,2,0,0,"[68, 0, 32]",100
DE_3_2,1.0,0.0,0.0,100.0,50,llama-2-70b,2,0,0,"[68, 0, 32]",100
DE_3_2,1.5,8.0,0.0,92.0,50,llama-2-70b,2,0,0,"[68, 0, 32]",100
DE_3_2,2.0,25.64,0.0,74.36,39,llama-2-70b,2,0,0,"[68, 0, 32]",100
DE_3_3,0.01,0.0,0.0,100.0,50,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_3,0.5,0.0,0.0,100.0,50,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_3,1.0,0.0,0.0,100.0,50,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_3,1.5,0.0,0.0,100.0,50,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_3,2.0,2.08,8.33,89.58,48,llama-2-70b,1,1,0,"[16, 0, 84]",100
DE_3_4,0.01,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,0.5,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,1.0,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,1.5,0.0,0.0,100.0,50,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_4,2.0,13.64,0.0,86.36,44,llama-2-70b,2,1,0,"[68, 0, 32]",100
DE_3_5,0.01,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,0.5,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
DE_3_5,1.0,0.0,0.0,100.0,50,llama-2-70b,1,0,1,"[16, 0, 84]",100
