,Model,Scenario,Temperature,Observations,A,B
0,llama-2-70b,1,0.5,50.0,0.0,1.0
1,llama-2-70b,1,1.0,50.0,0.0,1.0
2,llama-2-70b,1,1.5,50.0,0.0,1.0
3,llama-2-70b,2,0.5,50.0,0.0,1.0
4,llama-2-70b,2,1.0,50.0,0.0,1.0
5,llama-2-70b,2,1.5,50.0,0.0,1.0
6,gpt-4-1106-preview,1,0.5,,0.98,0.02
7,gpt-4-1106-preview,1,1.0,,0.92,0.08
8,gpt-4-1106-preview,1,1.5,,0.78,0.2
9,gpt-4-1106-preview,2,0.5,,0.0,1.0
10,gpt-4-1106-preview,2,1.0,,0.04,0.96
11,gpt-4-1106-preview,2,1.5,,0.1,0.8
12,gpt-3.5-turbo-1106,1,0.5,,0.0,1.0
13,gpt-3.5-turbo-1106,1,1.0,,0.02,0.98
14,gpt-3.5-turbo-1106,1,1.5,,0.08,0.92
15,gpt-3.5-turbo-1106,2,0.5,,0.0,1.0
16,gpt-3.5-turbo-1106,2,1.0,,0.0,1.0
17,gpt-3.5-turbo-1106,2,1.5,,0.0,1.0
18,Real Experiment,1,,,0.72,0.28
19,Real Experiment,2,,,0.36,0.64
