Experiment_id,Temperature,Model,Actual_price,Initial_cost,Orientation_price,Configuration,Obs.,Answers,Buyer
TU3_1_1_1_1_1,0.01,gpt-3.5-turbo,15.71,0.0,15.71,1,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_1_1,0.5,gpt-3.5-turbo,15.71,0.0,15.71,1,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_1_1,1.0,gpt-3.5-turbo,15.71,0.0,15.71,1,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_1_1,1.5,gpt-3.5-turbo,15.71,0.0,15.71,1,91,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '10', '15', '15', '20', '15', '15', '15', '15', '15', '0', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_1_1,2.0,gpt-3.5-turbo,15.71,0.0,15.71,1,64,"['15', '15', '15', '15', '15', '0', '16', '5', '15', '15', '9', '0', '15', '15', '15', '15', '15', '25', '15', '15', '0', '15', '615', '15', '20', '10', '15', '15', '15', '15', '0', '15', '15', '5', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '20', '15', '0', '15', '0', '15', '16', '15', '15', '15', '15', '15', '15', '15', '10', '15', '15', '30', '8', '15']",friend
TU3_1_1_1_1_2,0.01,gpt-3.5-turbo,15.71,0.0,15.71,2,100,"['15', '15', '20', '15', '20', '15', '15', '20', '20', '15', '20', '15', '15', '15', '15', '20', '20', '15', '15', '20', '20', '20', '20', '20', '15', '15', '15', '15', '15', '20', '20', '20', '15', '15', '15', '20', '15', '15', '15', '20', '15', '15', '15', '15', '20', '20', '15', '15', '20', '15', '15', '20', '15', '20', '20', '15', '20', '15', '15', '15', '20', '20', '15', '20', '20', '20', '20', '20', '20', '15', '15', '20', '20', '20', '15', '15', '15', '15', '15', '15', '15', '20', '20', '15', '20', '15', '20', '20', '15', '15', '20', '15', '15', '15', '20', '15', '20', '15', '20', '20']",stranger
TU3_1_1_1_1_2,0.5,gpt-3.5-turbo,15.71,0.0,15.71,2,100,"['15', '20', '15', '20', '15', '20', '20', '20', '20', '20', '15', '20', '15', '15', '15', '15', '20', '15', '15', '15', '15', '15', '20', '15', '15', '20', '20', '20', '20', '15', '15', '20', '20', '15', '20', '20', '20', '20', '15', '20', '20', '25', '15', '15', '15', '15', '15', '20', '15', '20', '25', '15', '30', '20', '20', '20', '20', '20', '15', '15', '20', '15', '15', '20', '20', '20', '15', '20', '15', '15', '20', '15', '15', '15', '15', '20', '15', '20', '15', '15', '20', '15', '20', '20', '15', '20', '20', '15', '25', '50', '20', '20', '20', '15', '15', '15', '20', '15', '20', '20']",stranger
TU3_1_1_1_1_2,1.0,gpt-3.5-turbo,15.71,0.0,15.71,2,100,"['50', '25', '20', '15', '15', '40', '20', '30', '15', '15', '15', '17', '20', '20', '20', '15', '15', '15', '16', '20', '20', '71', '157', '30', '15', '25', '15', '15', '20', '25', '15', '20', '25', '17', '60', '30', '20', '20', '50', '15', '20', '15', '15', '20', '20', '15', '15', '20', '15', '20', '20', '20', '25', '50', '15', '20', '20', '20', '100', '20', '17', '20', '15', '30', '50', '15', '15', '15', '15', '15', '20', '50', '20', '20', '20', '20', '50', '17', '15', '30', '15', '15', '75', '15', '20', '17', '20', '17', '40', '15', '30', '15', '35', '30', '15', '120', '20', '18', '20', '45']",stranger
TU3_1_1_1_1_2,1.5,gpt-3.5-turbo,15.71,0.0,15.71,2,96,"['50', '15', '60', '15', '30', '50', '15', '31', '15', '17', '71', '32', '15', '50', '20', '30', '50', '15', '35', '20', '25', '15', '50', '20', '20', '20', '20', '90', '20', '25', '30', '86', '15', '20', '15', '25', '20', '50', '60', '100', '15', '15', '40', '20', '15', '75', '35', '25', '20', '15', '20', '40', '17', '30', '50', '30', '25', '50', '40', '50', '30', '20', '16', '25', '15', '15', '17', '50', '100', '37', '30', '30', '80', '68', '157', '20', '16', '18', '20', '15', '17', '15', '25', '30', '35', '20', '18', '20', '50', '15', '15', '40', '17', '17', '30', '40']",stranger
TU3_1_1_1_1_2,2.0,gpt-3.5-turbo,15.71,0.0,15.71,2,59,"['675', '15', '20', '400', '100', '155', '22', '15', '56', '138', '100', '159', '86', '50', '17', '30', '810', '15', '17', '350', '80', '70', '37', '20', '580', '20', '17', '40', '52', '194', '20', '15', '30', '50', '285', '50', '15', '15', '34', '50', '15', '50', '37', '15', '15', '80', '15', '25', '139', '15', '25', '18', '45', '70', '25', '71', '20', '25', '30']",stranger
TU3_1_1_1_2_1,0.01,gpt-3.5-turbo,15.71,0.0,31.42,3,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_2_1,0.5,gpt-3.5-turbo,15.71,0.0,31.42,3,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_1_2_1,1.0,gpt-3.5-turbo,15.71,0.0,31.42,3,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '31', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '27', '15', '15', '15', '15', '15', '15', '23', '15', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '25', '15', '15', '15', '15', '15', '15', '15', '15', '15', '31', '31', '22', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '31', '15', '15']",friend
TU3_1_1_1_2_1,1.5,gpt-3.5-turbo,15.71,0.0,31.42,3,98,"['31', '20', '15', '0', '15', '15', '0', '15', '15', '23', '15', '15', '15', '15', '31', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '20', '15', '24', '15', '15', '15', '15', '0', '15', '15', '23', '15', '21', '15', '15', '15', '15', '15', '20', '15', '15', '20', '15', '21', '15', '31', '15', '15', '31', '15', '15', '15', '15', '15', '15', '25', '15', '15', '23', '23', '15', '15', '15', '15', '0', '15', '15', '10', '23', '31', '15', '25', '46', '15', '15', '15', '15', '15', '15', '15', '15', '18', '20', '7', '16', '15', '15', '15', '15']",friend
TU3_1_1_1_2_1,2.0,gpt-3.5-turbo,15.71,0.0,31.42,3,76,"['15', '15', '26', '15', '31', '15', '26', '15', '15', '0', '20', '5', '31', '17', '31', '31', '62', '15', '46', '31', '15', '20', '28', '0', '29', '15', '15', '40', '23', '20', '15', '28', '15', '0', '5', '0', '20', '7', '15', '0', '0', '24', '15', '21', '15', '20', '15', '15', '15', '15', '23', '31', '6', '23', '15', '31', '22', '23', '22', '15', '25', '15', '0', '20', '0', '31', '31', '0', '20', '23', '141', '31', '27', '15', '10', '21']",friend
TU3_1_1_1_2_2,0.01,gpt-3.5-turbo,15.71,0.0,31.42,4,100,"['31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31']",stranger
TU3_1_1_1_2_2,0.5,gpt-3.5-turbo,15.71,0.0,31.42,4,100,"['31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31']",stranger
TU3_1_1_1_2_2,1.0,gpt-3.5-turbo,15.71,0.0,31.42,4,100,"['31', '31', '27', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '50', '31', '31', '31', '47', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '25', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '35', '31', '31', '31', '31', '31', '31', '35', '31', '31', '31', '31', '31', '31', '31', '31', '31', '31', '25']",stranger
TU3_1_1_1_2_2,1.5,gpt-3.5-turbo,15.71,0.0,31.42,4,95,"['31', '41', '31', '31', '31', '31', '31', '31', '41', '31', '20', '31', '31', '31', '31', '30', '31', '30', '62', '31', '31', '31', '23', '31', '47', '31', '31', '35', '31', '27', '31', '31', '31', '31', '31', '40', '31', '42', '31', '31', '28', '31', '50', '37', '31', '40', '31', '31', '23', '25', '31', '31', '31', '31', '31', '31', '62', '25', '31', '20', '31', '28', '31', '31', '31', '31', '31', '31', '29', '62', '31', '40', '31', '31', '42', '31', '31', '45', '31', '31', '31', '40', '23', '31', '31', '25', '31', '30', '62', '20', '31', '30', '35', '47', '31']",stranger
TU3_1_1_1_2_2,2.0,gpt-3.5-turbo,15.71,0.0,31.42,4,65,"['49', '31', '56', '45', '31', '26', '47', '37', '70', '31', '30', '31', '31', '45', '50', '31', '39', '31', '31', '31', '51', '48', '31', '30', '63', '31', '31', '26', '25', '31', '31', '40', '42', '31', '40', '31', '40', '31', '20', '31', '31', '26', '31', '40', '26', '31', '30', '47', '31', '52', '27', '34', '31', '42', '31', '31', '30', '23', '24', '31', '29', '26', '31', '31', '31']",stranger
TU3_1_1_2_1_1,0.01,gpt-3.5-turbo,15.71,15.71,15.71,5,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_2_1_1,0.5,gpt-3.5-turbo,15.71,15.71,15.71,5,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_2_1_1,1.0,gpt-3.5-turbo,15.71,15.71,15.71,5,100,"['15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '10', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_2_1_1,1.5,gpt-3.5-turbo,15.71,15.71,15.71,5,100,"['15', '15', '0', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '5', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '0', '15', '15', '15', '15', '0', '10', '15', '15', '15', '15', '15', '31', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '0', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15', '0', '15', '15', '15', '15', '16', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '0', '15', '15']",friend
TU3_1_1_2_1_1,2.0,gpt-3.5-turbo,15.71,15.71,15.71,5,59,"['7', '20', '15', '15', '0', '15', '15', '15', '15', '15', '15', '15', '157', '25', '15', '15', '15', '15', '15', '15', '15', '18', '10', '15', '15', '15', '19', '2', '0', '145', '0', '15', '7', '15', '15', '18', '15', '15', '15', '76', '0', '15', '15', '15', '0', '0', '5', '15', '15', '0', '15', '15', '15', '15', '7', '15', '15', '15', '100']",friend
TU3_1_1_2_1_2,0.01,gpt-3.5-turbo,15.71,15.71,15.71,6,100,"['20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20']",stranger
TU3_1_1_2_1_2,0.5,gpt-3.5-turbo,15.71,15.71,15.71,6,100,"['20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '15', '20', '20', '20', '20', '20', '20', '20', '20', '30', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '18', '20', '20', '20', '15', '20', '20', '20', '20', '20', '20', '20', '20', '15', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '20', '15', '20', '18', '20', '15', '20', '20', '20', '20', '20', '15', '20', '20', '20', '20', '20', '20', '20', '30', '20', '20', '20', '20', '15', '20', '20', '20', '20', '25', '20', '20', '20', '20', '20', '20', '20']",stranger
TU3_1_1_2_1_2,1.0,gpt-3.5-turbo,15.71,15.71,15.71,6,100,"['20', '20', '20', '20', '30', '25', '20', '20', '20', '15', '17', '15', '23', '30', '20', '30', '30', '20', '20', '30', '20', '50', '15', '20', '20', '15', '15', '20', '35', '20', '18', '20', '25', '20', '20', '20', '20', '40', '20', '15', '18', '20', '20', '20', '20', '20', '15', '17', '16', '17', '20', '20', '20', '15', '20', '25', '25', '17', '20', '22', '25', '22', '19', '15', '20', '20', '30', '40', '20', '30', '18', '31', '20', '25', '15', '25', '20', '20', '20', '25', '20', '15', '15', '20', '18', '18', '15', '15', '20', '20', '18', '20', '20', '20', '20', '17', '42', '20', '22', '15']",stranger
TU3_1_1_2_1_2,1.5,gpt-3.5-turbo,15.71,15.71,15.71,6,92,"['35', '17', '50', '60', '20', '18', '23', '19', '15', '18', '25', '50', '17', '25', '33', '22', '15', '17', '15', '25', '20', '20', '30', '15', '17', '19', '155', '100', '32', '18', '50', '17', '25', '18', '19', '20', '17', '15', '20', '20', '15', '20', '15', '15', '17', '20', '20', '20', '20', '17', '101', '25', '25', '26', '50', '20', '50', '18', '16', '20', '25', '35', '20', '20', '20', '18', '15', '56', '35', '100', '17', '15', '15', '50', '15', '25', '30', '52', '20', '75', '17', '17', '25', '150', '20', '20', '21', '17', '15', '20', '20', '20']",stranger
TU3_1_1_2_1_2,2.0,gpt-3.5-turbo,15.71,15.71,15.71,6,61,"['30', '10', '30', '40', '16', '35', '45', '18', '25', '16', '20', '30', '25', '30', '20', '30', '16', '20', '156', '15', '34', '17', '35', '30', '65', '30', '43', '82', '20', '110', '15', '15', '15', '30', '20', '30', '30', '78', '17', '50', '371', '20', '784', '100', '17', '95', '15', '18', '25', '22', '30', '240', '25', '35', '55', '500', '20', '60', '50', '17', '33']",stranger
TU3_1_1_2_2_1,0.01,gpt-3.5-turbo,15.71,15.71,31.42,7,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
TU3_1_1_2_2_1,0.5,gpt-3.5-turbo,15.71,15.71,31.42,7,100,"['15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '31', '15', '15', '15', '15', '15', '31', '31', '15', '15', '20', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '31', '15', '15', '15', '31', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15', '15']",friend
