,Model,Prompt,Temperature,$0,$20,$20 plus interest,$75,-$55
0,gpt-4-1106-preview,0.0,0.5,0.0,0.0,0.0,1.0,0.0
1,gpt-4-1106-preview,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2,gpt-4-1106-preview,0.0,1.5,0.0,0.0,0.0,1.0,0.0
3,gpt-4-1106-preview,1.0,0.5,0.0,0.0,0.0,1.0,0.0
4,gpt-4-1106-preview,1.0,1.0,0.0,0.0,0.0,1.0,0.0
5,gpt-4-1106-preview,1.0,1.5,0.0,0.0,0.0,1.0,0.0
6,gpt-4-1106-preview,2.0,0.5,0.0,0.0,0.0,1.0,0.0
7,gpt-4-1106-preview,2.0,1.0,0.0,0.0,0.0,1.0,0.0
8,gpt-4-1106-preview,2.0,1.5,0.0,0.0,0.02,0.98,0.0
9,gpt-3.5-turbo-1106,0.0,0.5,0.0,0.08,0.0,0.0,0.92
10,gpt-3.5-turbo-1106,0.0,1.0,0.0,0.12,0.0,0.0,0.88
11,gpt-3.5-turbo-1106,0.0,1.5,0.06,0.12,0.0,0.06,0.76
12,gpt-3.5-turbo-1106,1.0,0.5,0.0,0.38,0.0,0.02,0.6
13,gpt-3.5-turbo-1106,1.0,1.0,0.02,0.38,0.0,0.02,0.58
14,gpt-3.5-turbo-1106,1.0,1.5,0.06,0.3,0.0,0.12,0.5
15,gpt-3.5-turbo-1106,2.0,0.5,0.0,1.0,0.0,0.0,0.0
16,gpt-3.5-turbo-1106,2.0,1.0,0.0,0.98,0.0,0.0,0.02
17,gpt-3.5-turbo-1106,2.0,1.5,0.04,0.78,0.02,0.0,0.12
18,Real Experiment,,,0.3,0.18,0.07,0.2,0.25
