,Model,Prompt,Temperature,Oberservations,$0,$20,$20 plus interest,$75,-$55
0,llama-2-70b,0.0,0.5,50.0,1.0,0.0,0.0,0.0,0.0
1,llama-2-70b,0.0,1.0,50.0,0.76,0.0,0.0,0.0,0.24
2,llama-2-70b,0.0,1.5,44.0,0.5,0.0,0.0,0.07,0.43
3,llama-2-70b,1.0,0.5,50.0,0.0,0.0,0.0,0.0,1.0
4,llama-2-70b,1.0,1.0,50.0,0.0,0.0,0.0,0.0,1.0
5,llama-2-70b,1.0,1.5,41.0,0.0,0.0,0.0,0.0,1.0
6,llama-2-70b,2.0,0.5,50.0,0.0,0.0,0.0,0.0,1.0
7,llama-2-70b,2.0,1.0,50.0,0.0,0.0,0.0,0.0,1.0
8,llama-2-70b,2.0,1.5,43.0,0.09,0.0,0.0,0.0,0.91
9,gpt-4-1106-preview,0.0,0.5,,0.0,0.0,0.0,1.0,0.0
10,gpt-4-1106-preview,0.0,1.0,,0.0,0.0,0.0,1.0,0.0
11,gpt-4-1106-preview,0.0,1.5,,0.0,0.0,0.0,1.0,0.0
12,gpt-4-1106-preview,1.0,0.5,,0.0,0.0,0.0,1.0,0.0
13,gpt-4-1106-preview,1.0,1.0,,0.0,0.0,0.0,1.0,0.0
14,gpt-4-1106-preview,1.0,1.5,,0.0,0.0,0.0,1.0,0.0
15,gpt-4-1106-preview,2.0,0.5,,0.0,0.0,0.0,1.0,0.0
16,gpt-4-1106-preview,2.0,1.0,,0.0,0.0,0.0,1.0,0.0
17,gpt-4-1106-preview,2.0,1.5,,0.0,0.0,0.02,0.98,0.0
18,gpt-3.5-turbo-1106,0.0,0.5,,0.0,0.08,0.0,0.0,0.92
19,gpt-3.5-turbo-1106,0.0,1.0,,0.0,0.12,0.0,0.0,0.88
20,gpt-3.5-turbo-1106,0.0,1.5,,0.06,0.12,0.0,0.06,0.76
21,gpt-3.5-turbo-1106,1.0,0.5,,0.0,0.38,0.0,0.02,0.6
22,gpt-3.5-turbo-1106,1.0,1.0,,0.02,0.38,0.0,0.02,0.58
23,gpt-3.5-turbo-1106,1.0,1.5,,0.06,0.3,0.0,0.12,0.5
24,gpt-3.5-turbo-1106,2.0,0.5,,0.0,1.0,0.0,0.0,0.0
25,gpt-3.5-turbo-1106,2.0,1.0,,0.0,0.98,0.0,0.0,0.02
26,gpt-3.5-turbo-1106,2.0,1.5,,0.04,0.78,0.02,0.0,0.12
27,Real Experiment,,,,0.3,0.18,0.07,0.2,0.25
